자치구,행정동,전입수,전출수,전입비율,전출비율
송파구,문정1동,3679,3666,0.17345182810400508,0.17283892411777185
송파구,문정2동,8155,5776,0.28677427295424973,0.20311565917642507
송파구,방이1동,2227,2393,0.13581338618691874,0.14593688062204604
송파구,방이2동,4992,4922,0.20132685366296305,0.1985037607630417
송파구,삼전동,5668,6014,0.17399579438535095,0.18461727371797823
송파구,석촌동,6189,6179,0.18578890489913544,0.18548871277617676
송파구,송파1동,4775,4907,0.18682630044799187,0.19199092278498348
송파구,송파2동,2607,2899,0.12464440247663217,0.1386053405369224
송파구,오금동,7946,5118,0.20464086121198075,0.13180869968322645
송파구,오륜동,1791,2139,0.09320600556842133,0.11131638520985662
송파구,위례동,4677,4443,0.16447460964973976,0.15624560416373612
송파구,잠실2동,4627,4696,0.12756571964214328,0.12946803964545167
송파구,잠실3동,4230,4579,0.11783058023900388,0.12755229950695005
송파구,잠실4동,3151,3704,0.10596405091386008,0.12456072503488978
송파구,잠실6동,2107,2187,0.12386467182034626,0.12856764939302195
송파구,잠실7동,995,1094,0.09731527214044697,0.10699789720768742
송파구,잠실본동,5262,5507,0.18373867346404316,0.19229359079560732
송파구,장지동,5073,5558,0.14682218106043066,0.16085899513776336
송파구,풍납1동,1741,2420,0.11235882542755728,0.15617941271377864
송파구,풍납2동,3292,3651,0.1328249510782949,0.1473098105670883
양천구,목1동,3612,3973,0.11226979563291631,0.12349055870697023
양천구,목2동,4518,4931,0.14490522467045128,0.15815131979858238
양천구,목3동,4526,3662,0.20385550851274659,0.16494009548689306
양천구,목4동,3314,3649,0.12292740828665752,0.13535368522571312
양천구,목5동,4425,4836,0.10252667431272373,0.11204949084210893
양천구,신월1동,2525,3104,0.11524681074419772,0.14167370318811476
양천구,신월2동,2683,3176,0.11856467364885766,0.14035087719298245
양천구,신월3동,2162,2642,0.12823630594027105,0.15670690115365224
양천구,신월4동,1937,2314,0.10086177718763831,0.12049259288187664
양천구,신월5동,2029,2403,0.13070506007021612,0.15479756498212388
양천구,신월6동,835,1091,0.12428369427699636,0.16238743767209943
양천구,신월7동,2215,3008,0.09929173390711853,0.13483951945490408
양천구,신정1동,2534,2730,0.1186690706441567,0.12784789378790362
양천구,신정2동,2224,2483,0.10722723108818283,0.11971457499638398
양천구,신정3동,4352,6422,0.08900159515726615,0.13133461491267537
양천구,신정4동,4841,5277,0.1380047607508873,0.1504340265404735
양천구,신정6동,2792,3086,0.10981101649918389,0.12137421092997187
양천구,신정7동,3055,3627,0.10212609480510798,0.12124757638563884
영등포구,당산1동,3785,3824,0.18528490307421186,0.18719404738594086
영등포구,당산2동,6705,6435,0.19205980922918278,0.1843258571796855
영등포구,대림1동,1993,2303,0.15140350210810194,0.1749534698218559
영등포구,대림2동,1842,2256,0.14597614613464358,0.17878511708998693
영등포구,대림3동,3020,3767,0.12338365370865932,0.15390272302003963
영등포구,도림동,3085,3434,0.1645245586902032,0.18313689936536717
영등포구,문래동,4338,3948,0.13890489913544668,0.12641690682036502
영등포구,신길1동,3198,4075,0.18285256868406757,0.23299694102175592
영등포구,신길3동,2010,2390,0.1266700277287623,0.1506175951600706
영등포구,신길4동,1157,1437,0.12513519359723124,0.1554185593770279
영등포구,신길5동,1289,2541,0.12827785241578346,0.25287356321839083
영등포구,신길6동,2825,3063,0.15590507726269315,0.16903973509933776
영등포구,신길7동,3017,3240,0.18029162184773515,0.19361778415202582
영등포구,양평1동,3771,3167,0.2215498501850655,0.1860642735444451
